order,zoho_invoice_id,zoho_net,shopify_net,delta,zoho_total,shopify_total,status
49193,3806639000015051394,0,4595,4595,4720.8,4595,large_mismatch
49192,3806639000015077328,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49191,3806639000015053172,0,1298,1298,1258.95,1298,large_mismatch
49190,3806639000015070170,0,1139.05,1139.05,1196,1139.05,large_mismatch
49189,3806639000015052317,0,2098,2098,2098.95,2098,large_mismatch
49188,3806639000015073336,0,2597,2597,2622.9,2597,large_mismatch
49187,3806639000015052304,0,1804.1,1804.1,1894.31,1804.1,large_mismatch
49185,3806639000015071323,0,1398,1398,1363.95,1398,large_mismatch
49184,3806639000015082155,0,2468.1,2468.1,2591.51,2468.1,large_mismatch
49183,3806639000015052294,0,1147.67,1147.67,1205.05,1147.67,large_mismatch
49182,3806639000015080242,0,2659.05,2659.05,2792,2659.05,large_mismatch
49181,3806639000015080233,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49180,3806639000015043260,0,1899.05,1899.05,1993.99,1899.05,large_mismatch
49179,3806639000015102376,0,1298,1298,1258.95,1298,large_mismatch
49178,3806639000015082137,0,1398,1398,1363.95,1398,large_mismatch
49176,3806639000015043251,0,1298,1298,1258.95,1298,large_mismatch
49175,3806639000015078369,0,1899.05,1899.05,1994,1899.05,large_mismatch
49174,3806639000015077295,0,1059.32,1059.32,1112.29,1059.32,large_mismatch
49173,3806639000015053144,0,1899.05,1899.05,1994,1899.05,large_mismatch
49172,3806639000015042411,0,2098,2098,2098.95,2098,large_mismatch
49171,3806639000015082125,0,1899.05,1899.05,1993.99,1899.05,large_mismatch
49170,3806639000015047378,0,1139.05,1139.05,1196,1139.05,large_mismatch
49169,3806639000015102336,0,1172.35,1172.35,1230.97,1172.35,large_mismatch
49168,3806639000015071298,0,2898,2898,2938.95,2898,large_mismatch
49166,3806639000015078358,0,2098,2098,2098.95,2098,large_mismatch
49165,3806639000015078349,0,1082.1,1082.1,1136.21,1082.1,large_mismatch
49164,3806639000015074356,0,1172.35,1172.35,1230.97,1172.35,large_mismatch
49163,3806639000015073278,0,1398,1398,1363.95,1398,large_mismatch
49162,3806639000015073270,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
